candidate_rank,GENE,CHR,START,STOP,NSNPS,NPARAM,N,magma_z,P_MULTI,P_SNPWISE_MEAN,P_SNPWISE_TOP1,magma_p,magma_fdr,magma_bonf,magma_rank,gwas_min_p,gwas_n_snps,gwas_rank,n_top_pathways,mean_pathway_mlog10p,pathways,pathway_names,best_pathway_id,best_pathway_name,best_pathway_p,pathway_rank,hit_gwas,hit_magma,hit_pathway,support_layers,gwas_rank_score,magma_rank_score,pathway_rank_score,multi_pathway_bonus,score
11,SORBI_3004G102100,4,9409267,9472846,1666,80,328,5.9724,1.1692e-9,0.015033,3.9064e-12,1.1692e-9,3.60411214545455e-6,3.96452336e-5,11,7.925157e-13,1666,10,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,3.53030217448527,3.48890948932705,0,0,7.01921166381232
12,SORBI_3008G029000,8,2579929,2631770,1137,42,329,5.492,1.9869e-8,0.0086255,2.0059e-10,1.9869e-8,2.59122327692308e-5,6.73718052e-4,26,3.107246e-13,1137,6,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,3.75215092410163,3.11532882651445,0,0,6.86747975061608
13,SORBI_3009G083900,9,12995389,13063834,1165,65,331,6.2079,2.6855e-10,8.8049e-4,2.2045e-11,2.6855e-10,1.46206452e-6,9.1059934e-6,5,1.276774e-11,1165,37,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,2.96210045041828,3.83133217014925,0,0,6.79343262056753
14,SORBI_3008G029400,8,2600199,2657242,1229,31,329,5.6287,9.0778e-9,0.0064303,3.4332e-11,9.0778e-9,1.46576210666667e-5,3.078100424e-4,21,3.107246e-13,1229,9,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,3.57605966504595,3.20808287975135,0,0,6.7841425447973
15,SORBI_3006G058600,6,40491329,40549482,1125,73,329,5.9169,1.64e-9,0.001625,6.3036e-10,1.64e-9,4.63409333333333e-6,5.560912e-5,12,1.91491e-12,1125,17,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,3.299853253107,3.45112092843765,0,0,6.75097418154464
16,SORBI_3009G066000,9,7111799,7164138,1039,82,329,5.7229,5.2352e-9,0.19514,1.3168e-12,5.2352e-9,1.10946976e-5,1.775151616e-4,16,1.316785e-12,1039,15,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,3.35421091542959,3.32618219182935,0,0,6.68039310725894
17,SORBI_3006G058666,6,40503870,40556199,1385,68,329,5.6451,8.255e-9,0.0028156,1.8493e-9,8.255e-9,1.3995527e-5,2.7991054e-4,20,1.91491e-12,1385,18,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,3.27502966938197,3.22927217882129,0,0,6.50430184820326
18,SORBI_3006G019000,6,3230983,3282770,965,50,329,5.3721,3.8922e-8,0.79688,1.2306e-11,3.8922e-8,4.25731347096774e-5,0.001319767176,31,9.662592e-13,965,12,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,3.45112092843765,3.038940480651,0,0,6.49006140908865
19,SORBI_3009G039000,9,3649616,3700903,758,48,330,5.7124,5.5703e-9,0.088458,4.1935e-12,5.5703e-9,1.11104548470588e-5,1.888777324e-4,17,4.193526e-12,758,22,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,3.18787949366307,3.299853253107,0,0,6.48773274677006
20,SORBI_3008G029700,8,2617798,2668855,919,32,330,5.6916,6.2912e-9,0.02098,4.9046e-12,6.2912e-9,1.18512227555556e-5,2.133220096e-4,18,4.904645e-12,919,26,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,3.11532882651445,3.27502966938197,0,0,6.39035849589642
21,SORBI_3006G032800,6,7340479,7394506,990,74,329,5.2095,9.4689e-8,0.15441,7.932e-10,9.4689e-8,6.91593339574468e-5,0.003210714612,46,4.807311e-12,990,24,1,3.37255184744222,PWY-6717,"(1,4)-&beta;-D-xylan degradation",PWY-6717,"(1,4)-&beta;-D-xylan degradation",4.2408035284095e-4,114,TRUE,TRUE,TRUE,3,3.15009093277367,2.8675443428037,0.554818456670869,0.301029995663981,6.38535350261199
22,SORBI_3006G032700,6,7332701,7387253,1276,68,329,5.028,2.478e-7,0.32904,7.6916e-10,2.478e-7,1.20940148e-4,0.0084024024,68,4.807311e-12,1276,23,1,4.0595187608027,PWY-5350,thiosulfate disproportionation IV (rhodanese),PWY-5350,thiosulfate disproportionation IV (rhodanese),8.71929234573936e-5,68,TRUE,TRUE,TRUE,3,3.16857433846768,2.69779326177904,0.779214395301105,0.301029995663981,6.34628379659646
23,SORBI_3009G066100,9,7121475,7173968,1424,85,329,4.9556,3.6056e-7,0.28846,3.2016e-10,3.6056e-7,1.5093664790123e-4,0.01222586848,81,1.316785e-12,1424,16,1,2.76959450589859,PWY-5398,crocetin esters biosynthesis,PWY-5398,crocetin esters biosynthesis,0.0016998300169983,156,TRUE,TRUE,TRUE,3,3.32618219182935,2.62181715560662,0.41859870965288,0.301029995663981,6.2476077009616
24,SORBI_3004G014400,4,1145472,1196955,881,42,329,5.3369,4.7267e-8,4.7163e-4,8.451e-9,4.7267e-8,4.57922696e-5,0.001602729436,35,4.801701e-11,881,76,3,3.88127313494363,PWY-8028; PWY-6115; PWY-6663,"cycloartenol biosynthesis; avenacin biosynthesis, initial reactions; plant sterol biosynthesis II",PWY-8028,cycloartenol biosynthesis,5.19751162894772e-5,59,TRUE,TRUE,TRUE,3,2.64948858220448,2.986234130135,0.840871296365198,0.602059991327962,6.23677635792046
25,SORBI_3006G019100,6,3234923,3289878,1180,48,329,5.1076,1.6318e-7,0.77358,1.6329e-10,1.6318e-7,9.91005915789474e-5,0.00553310744,54,9.662592e-13,1180,13,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,3.41635882217843,2.7979084146623,0,0,6.21426723684074
26,SORBI_3009G068800,9,7536081,7589708,674,66,330,5.4126,3.1062e-8,0.079835,5.6178e-11,3.1062e-8,3.63064258666667e-5,0.001053250296,29,7.076227e-12,674,27,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,3.09893841032628,3.06790417658632,0,0,6.1668425869126
27,SORBI_3008G028700,8,2521276,2589912,1062,63,330,5.4282,2.8468e-8,0.0086797,1.4718e-9,2.8468e-8,3.4771443e-5,9.65292944e-4,27,8.315379e-12,1062,30,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,3.05318091976561,3.09893841032628,0,0,6.15211933009189
28,SORBI_3008G001400,8,117226,170110,239,30,330,4.6863,1.3912e-6,0.3015,4.2351e-9,1.3912e-6,3.3455893333333e-4,0.0471728096,141,1.779451e-11,239,49,2,5.22666376437806,PWY-3742; PWY-6543,tetrahydrofolate biosynthesis II; 4-aminobenzoate biosynthesis,PWY-3742,tetrahydrofolate biosynthesis II,3.57502911475037e-6,12,TRUE,TRUE,TRUE,3,2.84010609445676,2.38108306182989,1.53254206195972,0.477121254719662,6.13059656368241
29,SORBI_3007G097550,7,19267231,19320174,917,56,331,5.4066,3.2122e-8,0.52622,1.2268e-10,3.2122e-8,3.63064258666667e-5,0.001089192776,30,9.862253e-12,917,31,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,3.038940480651,3.05318091976561,0,0,6.09212140041661
30,SORBI_3008G029500,8,2610647,2666667,1096,34,330,5.2484,7.671e-8,0.0073103,4.9556e-10,7.671e-8,6.43211640909091e-5,0.00260108268,40,4.904645e-12,1096,25,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,3.13236216581323,2.92824218315731,0,0,6.06060434897054
31,SORBI_3004G014500,4,1149092,1200330,871,40,329,5.8462,2.5145e-9,0.0013066,4.8017e-11,2.5145e-9,6.55858969230769e-6,8.5261666e-5,13,4.801701e-11,871,77,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,2.64381144931279,3.41635882217843,0,0,6.06017027149122
32,SORBI_3008G000900,8,34592,85999,584,61,330,5.5853,1.1668e-8,0.059046,3.6334e-11,1.1668e-8,1.7201675826087e-5,3.95638544e-4,23,1.779451e-11,584,45,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,2.87708966070993,3.16857433846768,0,0,6.04566399917761
33,SORBI_3009G065900,9,7106126,7159943,1137,83,329,4.9895,3.0269e-7,0.15081,1.1929e-9,3.0269e-7,1.3490980363636e-4,0.01026361252,76,1.316785e-12,1137,14,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,3.38417413880703,2.64948858220448,0,0,6.03366272101151
34,SORBI_3004G132350,4,19787070,19838988,960,56,330,5.4266,2.8713e-8,0.55583,1.4264e-11,2.8713e-8,3.4771443e-5,9.73600404e-4,28,1.426403e-11,960,39,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,2.93923756745877,3.08314414314305,0,0,6.02238171060182
35,SORBI_3009G068900,9,7542284,7593764,652,58,330,5.2343,8.281e-8,0.082498,1.93e-10,8.281e-8,6.43211640909091e-5,0.00280792148,43,7.076227e-12,652,28,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,3.08314414314305,2.89683371890568,0,0,5.97997786204874
36,SORBI_3008G009300,8,664377,717917,694,74,326,5.1775,1.1245e-7,3.9922e-4,4.3887e-8,1.1245e-7,7.78154e-5,0.0038129546,49,5.297095e-10,694,163,1,5.39021771982617,PWY-3781,aerobic respiration I (cytochrome c),PWY-3781,aerobic respiration I (cytochrome c),4.07176101747267e-6,17,TRUE,TRUE,TRUE,3,2.31811457008131,2.84010609445676,1.38127438662907,0.301029995663981,5.9391668565518
37,SORBI_3009G038900,9,3605510,3661730,742,49,330,5.0494,2.2162e-7,0.14265,1.2119e-9,2.2162e-7,1.1792680738461e-4,0.00751469096,63,4.193526e-12,742,21,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,3.20808287975135,2.73096162503169,0,0,5.93904450478304
38,SORBI_3003G084100,3,7201876,7252950,790,28,330,5.1692,1.1755e-7,0.065103,5.0337e-11,1.1755e-7,7.81546156862745e-5,0.0039858854,51,1.00674e-11,790,34,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,2.99882325744302,2.82273199838734,0,0,5.82155525583035
39,SORBI_3003G084000,3,7190295,7245895,918,29,330,5.1319,1.4344e-7,0.099314,6.0404e-11,1.4344e-7,9.17691230188679e-5,0.00486376352,53,1.00674e-11,918,33,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,3.01178823460738,2.80602630488448,0,0,5.81781453949187
40,SORBI_3006G073001,6,43508177,43561434,80,40,324,5.5173,1.7213e-8,1.2466e-4,3.5097e-9,1.7213e-8,2.334633616e-5,5.83658404e-4,25,4.387137e-11,80,70,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,2.68520413447101,3.13236216581323,0,0,5.81756630028425
41,SORBI_3004G210000,4,55963401,56019168,842,60,328,4.2622,1.0123e-5,0.2408,3.1082e-8,1.0123e-5,0.00113451915511551,0.343250684,302,3.678351e-11,842,61,1,6.05180946206116,VALSYN-PWY,L-valine biosynthesis,VALSYN-PWY,L-valine biosynthesis,8.87545319227417e-7,7,TRUE,TRUE,TRUE,3,2.7449723394745,2.05029523152812,1.76662526799308,0.301029995663981,5.76888920369836
42,SORBI_3009G069000,9,7552283,7616525,589,59,330,4.9565,3.5892e-7,0.10115,1.0402e-9,3.5892e-7,1.5093664790123e-4,0.01217025936,80,7.076227e-12,589,29,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,3.06790417658632,2.62721218749333,0,0,5.69511636407964
43,SORBI_3008G009000,8,655089,707627,845,53,327,4.8721,5.5218e-7,5.7109e-4,1.3338e-7,5.5218e-7,2.0351434173913e-4,0.01872331944,92,5.297095e-10,845,160,1,5.39021771982617,PWY-3781,aerobic respiration I (cytochrome c),PWY-3781,aerobic respiration I (cytochrome c),4.07176101747267e-6,17,TRUE,TRUE,TRUE,3,2.32618219182935,2.56651434713972,1.38127438662907,0.301029995663981,5.67364273098279
44,SORBI_3004G347600,4,67671418,67726157,527,32,330,5.6801,6.7292e-9,4.9189e-4,5.3151e-10,6.7292e-9,1.20091428210526e-5,2.281737136e-4,19,1.771714e-10,527,129,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,2.41971246418602,3.25154857353244,0,0,5.67126103771847
45,SORBI_3004G014200,4,1136710,1188134,1016,43,329,5.2989,5.8265e-8,0.0030983,1.4017e-9,5.8265e-8,5.48791561111111e-5,0.00197564962,36,4.801701e-11,1016,74,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,2.6610704547543,2.97399967371798,0,0,5.63507012847228
46,SORBI_3004G347700,4,67678366,67729273,499,32,330,5.5963,1.0949e-8,6.2426e-4,1.364e-9,1.0949e-8,1.68753950909091e-5,3.71258692e-4,22,1.771714e-10,499,130,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,2.41635882217843,3.18787949366307,0,0,5.6042383158415
47,SORBI_3008G000600,8,16765,69713,898,53,329,5.0118,2.6959e-7,0.19496,3.1852e-9,2.6959e-7,1.2755910904109e-4,0.00914125772,71,1.779451e-11,898,42,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,2.90705288408737,2.6790438257662,0,0,5.58609670985357
48,SORBI_3004G138200,4,38846341,38897033,1861,59,329,5.0083,2.7462e-7,0.15036,2.9601e-10,2.7462e-7,1.2755910904109e-4,0.00931181496,73,1.623772e-11,1861,41,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,2.91751831776554,2.66697931436482,0,0,5.58449763213035
49,SORBI_3006G037700,6,14462572,14573530,2259,69,330,4.7301,1.1219e-6,0.44123,1.0398e-8,1.1219e-6,2.8389093432835e-4,0.0380413852,134,1.120004e-9,2259,236,1,6.20534769013641,PWY-7193,pyrimidine ribonucleosides salvage I,PWY-7193,pyrimidine ribonucleosides salvage I,6.23235681861794e-7,6,TRUE,TRUE,TRUE,3,2.15739017151516,2.40319737612046,1.8335720576237,0.301029995663981,5.56768257514667
50,SORBI_3004G347866,4,67687396,67739214,525,33,330,5.5395,1.5171e-8,0.0010489,5.8247e-10,1.5171e-8,2.14340945e-5,5.14418268e-4,24,1.771714e-10,525,133,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,2.40645053351819,3.15009093277367,0,0,5.55654146629185
51,SORBI_3003G398400,3,70764997,70822184,1103,39,330,5.3611,4.1364e-8,0.081522,5.752e-10,4.1364e-8,4.33416166060606e-5,0.001402570512,32,8.217188e-11,1103,100,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,2.53030217448527,3.02515219616537,0,0,5.55545437065064
52,SORBI_3003G083900,3,7181229,7238514,1016,34,330,4.8393,6.5139e-7,0.065386,1.422e-9,6.5139e-7,2.18155595e-4,0.02208733212,101,1.00674e-11,1016,32,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,3.02515219616537,2.52598080070263,0,0,5.55113299686799
53,SORBI_3004G014300,4,1140086,1190478,979,41,329,5.2021,9.8501e-8,0.0013778,8.7239e-9,9.8501e-8,6.95827480833333e-5,0.003339971908,48,4.801701e-11,979,75,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,2.65524091109357,2.84906093710968,0,0,5.50430184820326
54,SORBI_3001G274100,1,53067868,53120208,1024,48,329,5.2424,7.9231e-8,0.009183,1.5256e-9,7.9231e-8,6.43211640909091e-5,0.002686564748,41,6.300546e-11,1024,91,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,2.57126078216418,2.91751831776554,0,0,5.48877909992971
55,SORBI_3007G114100,7,47679391,47731179,1103,76,328,5.0693,1.9965e-7,0.55648,3.049e-10,1.9965e-7,1.13371398e-4,0.0067697322,59,3.726405e-11,1103,64,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,2.72412220050138,2.75945016284313,0,0,5.48357236334451
56,SORBI_3008G001100,8,70360,124052,789,61,330,4.9388,3.93e-7,0.20834,1.4058e-8,3.93e-7,1.5926264666666e-4,0.013325844,83,1.779451e-11,789,47,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,2.85820431654955,2.6112240821092,0,0,5.46942839865875
57,SORBI_3008G001900,8,140189,195273,361,50,329,4.9995,2.8745e-7,0.25028,2.6203e-9,2.8745e-7,1.2995806133333e-4,0.0097468546,75,1.779451e-11,361,54,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,2.7979084146623,2.65524091109357,0,0,5.45314932575587
58,SORBI_3009G088800,9,15361911,15413979,644,62,330,4.7666,9.3667e-7,0.10187,8.1875e-9,9.3667e-7,2.5949498708661e-4,0.03176060636,120,1.769394e-9,644,282,2,5.22666376437806,PWY-3742; PWY-6543,tetrahydrofolate biosynthesis II; 4-aminobenzoate biosynthesis,PWY-3742,tetrahydrofolate biosynthesis II,3.57502911475037e-6,12,TRUE,TRUE,TRUE,3,2.08005306616591,2.45112092843765,1.53254206195972,0.477121254719662,5.44058140199931
59,SORBI_3008G001800,8,136640,188525,357,49,329,4.9812,3.1593e-7,0.23168,2.1866e-9,3.1593e-7,1.356019549367e-4,0.01071255444,79,1.779451e-11,357,53,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,2.80602630488448,2.63267508319483,0,0,5.43870138807931
60,SORBI_3004G132300,4,19768356,19822485,1073,66,331,4.7727,9.0873e-7,0.42275,2.5533e-9,9.0873e-7,2.5949498708661e-4,0.03081321684,117,1.426403e-11,1073,38,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,2.95051857786846,2.46211631273911,0,0,5.41263489060757
61,SORBI_3008G001300,8,102632,158043,355,46,330,4.8563,5.9798e-7,0.38611,6.2993e-9,5.9798e-7,2.1121151916666e-4,0.02027630584,96,1.779451e-11,355,48,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,2.84906093710968,2.5480309414457,0,0,5.39709187855539
62,SORBI_3004G348100,4,67706503,67764601,550,41,330,5.3495,4.4103e-8,3.2124e-4,4.7942e-10,4.4103e-8,4.39836624705882e-5,0.001495444524,34,1.771714e-10,550,136,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,2.39676326611505,2.99882325744302,0,0,5.39558652355807
63,SORBI_3008G029850,8,2632527,2685856,837,29,329,5.2328,8.3465e-8,0.035831,1.0027e-10,8.3465e-8,6.43211640909091e-5,0.00283013122,44,9.731685e-11,837,107,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,2.50091839680006,2.88684949799908,0,0,5.38776789479915
64,SORBI_3008G029600,8,2620601,2671292,856,32,330,5.2141,9.2359e-8,0.021739,2.0046e-10,9.2359e-8,6.91593339574468e-5,0.003131708972,45,9.731685e-11,856,105,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,2.50911287541533,2.87708966070993,0,0,5.38620253612526
65,SORBI_3003G084200,3,7204152,7260363,870,32,330,4.6817,1.4223e-6,0.070855,1.8963e-9,1.4223e-6,3.3765728671328e-4,0.0482273484,142,1.00674e-11,870,35,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,2.986234130135,2.37801383010222,0,0,5.36424796023721
66,SORBI_3001G262400,1,46513417,46586190,1013,73,329,4.3655,6.3426e-6,0.05113,1.3667e-7,6.3426e-6,8.40097190625e-4,0.2150648808,256,5.902503e-10,1013,168,2,4.91015600208535,PWY-7388; PWY0-1264,"octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast); biotin-carboxyl carrier protein assembly",PWY-7388,"octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)",2.09476625991275e-6,11,TRUE,TRUE,TRUE,3,2.30499289275941,2.12206220917342,1.57033062284912,0.477121254719662,5.35535678977329
67,SORBI_3008G000700,8,22122,74824,750,54,329,4.7676,9.3221e-7,0.17012,7.0499e-9,9.3221e-7,2.5949498708661e-4,0.03160937668,118,1.779451e-11,750,43,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,2.89683371890568,2.45842016717915,0,0,5.35525388608483
68,SORBI_3003G168700,3,28825092,28875790,450,70,327,4.5544,2.627e-6,0.020012,1.284e-7,2.627e-6,4.7381019148936e-4,0.089076316,188,6.043731e-10,450,169,1,5.3967807060639,PWY-101,photosynthesis light reactions,PWY-101,photosynthesis light reactions,4.01069183562125e-6,16,TRUE,TRUE,TRUE,3,2.3024154698716,2.25614432522159,1.40760332535142,0.301029995663981,5.35267045646809
69,SORBI_3008G001000,8,36503,95960,751,60,330,4.788,8.4215e-7,0.14287,6.7967e-9,8.4215e-7,2.549609125e-4,0.0285556222,112,1.779451e-11,751,46,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,2.8675443428037,2.48108415181509,0,0,5.34862849461879
70,SORBI_3004G014000,4,1119517,1174986,974,48,329,5.0104,2.7161e-7,0.0078168,7.7788e-9,2.7161e-7,1.2755910904109e-4,0.00920975188,72,4.801701e-11,974,72,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,2.672969678054,2.672969678054,0,0,5.34593935610801
71,SORBI_3004G347900,4,67692774,67747369,538,39,330,5.2553,7.3886e-8,1.6455e-4,3.2526e-8,7.3886e-8,6.42391407179487e-5,0.002505326488,39,1.771714e-10,538,134,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,2.40319737612046,2.93923756745877,0,0,5.34243494357924
72,SORBI_3008G029800,8,2621847,2678534,924,31,330,5.173,1.152e-7,0.013207,4.299e-10,1.152e-7,7.8124032e-5,0.0039062016,50,9.731685e-11,924,106,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,2.5049963092205,2.83133217014925,0,0,5.33632847936975
73,SORBI_3003G169100,3,28827426,28878922,554,74,326,4.5364,2.8614e-6,0.029655,9.3293e-8,2.8614e-6,5.0271684559585e-4,0.0970243512,193,6.043731e-10,554,173,1,5.3967807060639,PWY-101,photosynthesis light reactions,PWY-101,photosynthesis light reactions,4.01069183562125e-6,16,TRUE,TRUE,TRUE,3,2.29225607135648,2.2447448654775,1.40760332535142,0.301029995663981,5.33111159820888
74,SORBI_3008G000800,8,25308,84053,922,67,329,4.7623,9.5718e-7,0.1643,6.8326e-9,9.5718e-7,2.5949498708661e-4,0.03245605944,124,1.779451e-11,922,44,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,2.88684949799908,2.43688048932304,0,0,5.32372998732212
75,SORBI_3008G001600,8,124242,175687,272,32,330,4.8078,7.6314e-7,0.21058,2.8898e-9,7.6314e-7,2.3881712654545e-4,0.02587655112,108,1.779451e-11,272,51,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,2.82273199838734,2.49687841899832,0,0,5.31961041738566
